Road,Time Interval,Number of Cars
Road A,6:00-7:00,454
Road A,7:00-8:00,162
Road A,8:00-9:00,451
Road A,9:00-10:00,487
Road A,10:00-11:00,440
Road A,11:00-12:00,300
Road A,12:00-13:00,319
Road A,13:00-14:00,74
Road A,14:00-15:00,92
Road A,15:00-16:00,291
Road B,6:00-7:00,316
Road B,7:00-8:00,402
Road B,8:00-9:00,423
Road B,9:00-10:00,369
Road B,10:00-11:00,142
Road B,11:00-12:00,375
Road B,12:00-13:00,330
Road B,13:00-14:00,461
Road B,14:00-15:00,364
Road B,15:00-16:00,410
Road C,6:00-7:00,118
Road C,7:00-8:00,351
Road C,8:00-9:00,414
Road C,9:00-10:00,196
Road C,10:00-11:00,51
Road C,11:00-12:00,103
Road C,12:00-13:00,136
Road C,13:00-14:00,327
Road C,14:00-15:00,95
Road C,15:00-16:00,66
Road D,6:00-7:00,251
Road D,7:00-8:00,373
Road D,8:00-9:00,126
Road D,9:00-10:00,270
Road D,10:00-11:00,433
Road D,11:00-12:00,382
Road D,12:00-13:00,52
Road D,13:00-14:00,146
Road D,14:00-15:00,137
Road D,15:00-16:00,378
Road E,6:00-7:00,426
Road E,7:00-8:00,404
Road E,8:00-9:00,107
Road E,9:00-10:00,183
Road E,10:00-11:00,275
Road E,11:00-12:00,216
Road E,12:00-13:00,178
Road E,13:00-14:00,273
Road E,14:00-15:00,93
Road E,15:00-16:00,322
